date,code,open,high,low,close,volume,amount
2025-01-02,sz.002304,38.50,39.20,38.00,38.80,856000,33276800
2025-01-03,sz.002304,39.00,39.80,38.80,39.50,912000,36144000
2025-01-06,sz.002304,39.60,40.10,39.20,39.80,789000,31522200
2025-01-07,sz.002304,39.50,39.80,38.50,38.60,945000,37161000
2025-01-08,sz.002304,38.80,40.50,38.50,40.20,1125000,44887500
2025-01-09,sz.002304,40.30,40.80,40.00,40.50,986000,40081800
2025-01-10,sz.002304,40.20,40.50,39.50,39.80,856000,34251200
2025-01-13,sz.002304,39.50,40.00,39.00,39.50,782000,31084100
2025-01-14,sz.002304,39.80,41.20,39.50,41.00,1230000,50307000
2025-01-15,sz.002304,41.20,42.00,41.00,41.80,1350000,56430000
