date,code,open,high,low,close,volume,amount
2025-01-02,sh.600519,1680.00,1695.50,1675.00,1690.00,25680,4340160000
2025-01-03,sh.600519,1692.00,1710.00,1688.00,1705.50,31200,5324400000
2025-01-06,sh.600519,1708.00,1712.00,1695.00,1698.00,22100,3766260000
2025-01-07,sh.600519,1695.00,1700.00,1680.00,1685.00,28900,4884310000
2025-01-08,sh.600519,1688.00,1720.00,1685.00,1718.50,35600,6089680000
2025-01-09,sh.600519,1720.00,1725.00,1710.00,1722.00,29800,5129160000
2025-01-10,sh.600519,1715.00,1718.00,1700.00,1702.00,24500,4182940000
2025-01-13,sh.600519,1700.00,1705.00,1690.00,1695.00,21300,3614910000
2025-01-14,sh.600519,1698.00,1730.00,1695.00,1728.00,38200,6571960000
2025-01-15,sh.600519,1730.00,1745.00,1728.00,1742.00,42100,7326220000
