OBJECTID,Station Name,Station Code,Managing Agency,County,Longitude,Latitude,Elevation (feet),x,y
1,ABERDEEN EXP STN,10,NWS,BINGHAM,-112 50 00,42 57 00,4410,2595103.355,1306135.6871
2,AMERICAN FALLS 1 SW,227,NWS,POWER,-112 52 00,42 47 00,4320,2592633.0181,1287590.6023
3,ANDERSON DAM 1 SW,282,NWS,ELMORE,-115 28 00,43 21 00,3882,2381059.8063,1350940.8103
4,ARBON 2 NW,347,NWS,POWER,-112 34 00,42 30 00,5170,2617705.9491,1256501.6201
5,ARCO 3 SW,375,NWS,BUTTE,-113 20 00,43 36 00,5330,2553739.4548,1377875.5987
6,ARROWROCK DAM,448,NWS,ELMORE,-115 55 00,43 36 00,3275,2345226.7815,1379445.5512
7,ASHTON,470,NWS,FREMONT,-111 27 00,44 04 00,5260,2704154.3729,1432651.3648
8,ATLANTA SUMMIT SNOTEL,15F04S,NRCS,ELMORE,-115 14 00,43 45 00,7580,2400629.9538,1395059.1194
9,AVERY RANGER STN  2,528,NWS,SHOSHONE,-115 55 00,47 15 00,2390,2354892.4179,1784944.9399
10,BANNER SUMMIT SNOTEL,15E11S,NRCS,BOISE,-115 14 00,44 18 00,7040,2401543.4044,1456148.0558
11,BAYVIEW MODEL BASIN,667,NWS,BONNER,-116 33 00,47 59 00,2075,2309649.4204,1867809.8617
12,BEAR BASIN PILLOW,16E11S,NRCS,ADAMS,-116 09 00,44 57 00,5350,2330323.6854,1529858.7514
13,BEAR CANYON SNOTEL,13F03S,NRCS,CUSTER,-113 56 00,43 45 00,7900,2505297.3364,1394321.9257
14,BEAR MOUNTAIN PILLOW,16A08S,NRCS,BONNER,-116 05 00,48 18 00,5400,2345425.1348,1901961.203
15,BEAR SADDLE SNOTEL,16E10S,NRCS, ,-116 58 00,44 36 00,6180,2264478.4361,1493012.6247
16,BENNETT MOUNTAIN PILLOW,15F07S,NRCS,ELMORE,-115 26 00,43 16 00,6560,2383602.6678,1341639.2019
17,BIG CREEK SUMMIT PILLOW,15E02S,NRCS,VALLEY,-115 48 00,44 38 00,6580,2357154.3159,1494009.5885
18,BLACKFOOT 2 SSW,915,NWS,BINGHAM,-112 21 00,43 10 00,4487,2634060.2424,1330857.602
19,BLISS 4 NW,1002,NWS,GOODING,-115 00 00,42 57 00,3280,2418352.0129,1305961.1588
20,BOISE 7 N,1017,NWS,ADA,-116 12 00,43 43 00,3885,2322700.6418,1392969.8503
21,BOISE LUCKY PEAK DAM,1018,NWS,ADA,-116 04 00,43 33 00,2840,2332981.243,1374182.7772
22,BOISE WSFO AP,1022,NWS,ADA,-116 13 00,43 34 00,2838,2320913.0086,1376345.9671
23,BONNERS FERRY 1 SW,1079,NWS,BOUNDARY,-116 19 00,48 41 00,1860,2329411.3811,1945063.2548
24,BOSTETTER R.S  SNOTEL,14G01S,NRCS,CASSIA,-114 11 00,42 10 00,7500,2484785.7396,1218511.8959
25,BROWNLEE DAM,1180,NWS,ADAMS,-116 52 00,44 50 00,1844,2273328.8831,1518647.6298
26,BRUNDAGE RESERVOIR,16D09S,NRCS,ADAMS,-116 08 00,45 03 00,6300,2331931.2851,1540932.8238
27,BRUNEAU,1195,NWS,OWYHEE,-115 48 00,42 53 00,2530,2352930.5296,1299644.672
28,BUHL 2,1220,NWS,TWIN FALLS,-114 45 00,42 36 00,3800,2438400.9876,1266883.4532
29,BURLEY FAA AP,1303,NWS,CASSIA,-113 46 00,42 32 00,4157,2519092.1992,1259234.255
30,CABINET GORGE,1363,NWS,BONNER,-116 04 00,48 05 00,2260,2346012.7428,1877846.0879
31,CALDWELL,1380,NWS,CANYON,-116 41 00,43 40 00,2370,2283582.8569,1388563.7554
32,CAMBRIDGE,1408,NWS,WASHINGTON,-116 41 00,44 34 00,2650,2286843.7429,1488530.5033
33,CASCADE 1 NW,1514,NWS,VALLEY,-116 03 00,44 32 00,4896,2337044.9193,1483369.5734
34,CASTLEFORD 2 N,1551,NWS,TWIN FALLS,-114 52 00,42 33 00,3830,2428772.9257,1261422.9701
35,CENTERVILLE ARBAUGH RANC,1636,NWS,BOISE,-115 51 00,43 54 00,4300,2351351.8298,1412643.3383
36,CHALLIS,1663,NWS,CUSTER,-114 14 00,44 30 00,5170,2481379.136,1477650.993
37,CHILLY BARTON FLAT,1671,NWS,CUSTER,-113 49 00,43 59 00,6260,2514633.2473,1420252.0432
38,COBALT,1932,NWS,LEMHI,-114 14 00,45 05 00,5010,2481564.797,1542449.3807
39,COEUR D'ALENE R S,1956,NWS,KOOTENAI,-116 45 00,47 41 00,2158,2293540.4768,1834984.7118
40,COOL CREEK,15C16S,NRCS,CLEARWATER,-115 18 00,46 46 00,6280,2400663.6586,1730271.1916
41,COTTONWOOD 2 SW,2159,NWS,IDAHO,-116 23 00,46 02 00,3750,2315489.5328,1650725.4919
42,COUNCIL,2187,NWS,ADAMS,-116 26 00,44 44 00,2950,2307250.3088,1506421.8339
43,COZY COVE SNOTEL,15E08S,NRCS,VALLEY,-115 39 00,44 17 00,5380,2368267.6918,1454880.7
44,CRAB CREEK SNOTEL,11E37S,NRCS,CLARK,-112 00 00,44 26 00,6860,2659112.6742,1472161.9421
45,CRAIGMONT,2246,NWS,LEWIS,-116 29 00,46 14 00,3750,2308446.3467,1673184.0369
46,CRATER MEADOWS SNOTEL,15C09S,NRCS,CLEARWATER,-115 17 00,46 34 00,5690,2401574.2205,1708026.7513
47,CRATERS OF THE MOON,2260,NWS,BUTTE,-113 34 00,43 28 00,5897,2534983.115,1362943.3293
48,DEADWOOD DAM 15 N,2390,NWS,VALLEY,-115 34 00,44 28 00,5635,2375306.7544,1475114.2867
49,DEADWOOD SUMMIT SNOTEL,15E04S,NRCS,VALLEY,-115 34 00,44 33 00,6860,2375484.2853,1484370.8933
50,DEER FLAT DAM,2444,NWS,CANYON,-116 45 00,43 35 00,2510,2277900.9028,1379484.1627
51,DIXIE,2575,NWS,IDAHO,-115 28 00,45 33 00,5620,2385440.6768,1595312.4515
52,DOLLARHIDE SUMMIT SNOTEL,14F08S,NRCS,CUSTER,-114 40 00,43 36 00,8420,2446120.523,1377876.757
53,DRIGGS,2676,NWS,TETON,-111 07 00,43 44 00,6116,2732143.7458,1396508.851
54,DUBOIS EXP STATION,2707,NWS,CLARK,-112 12 00,44 15 00,5450,2643641.4071,1451428.1892
55,DWORSHAK FISH HATCHERY,2845,NWS,CLEARWATER,-116 18 00,46 30 00,995,2323444.0205,1702388.5445
56,ELK BUTTE SNOTEL,16C15S,NRCS,CLEARWATER,-116 07 00,46 50 00,5380,2338506.4417,1739033.6556
57,ELK CITY R S,2875,NWS,IDAHO,-115 26 00,45 49 00,4058,2388573.1911,1624892.0488
58,ELK RIVER 1 S,2892,NWS,CLEARWATER,-116 11 00,46 46 00,2918,2333216.6847,1731764.8825
59,EMIGRANT SUMMIT SNOTEL,11G06S,NRCS,FRANKLIN,-111 34 00,42 22 00,7390,2700304.1067,1243569.6816
60,EMMETT 2 E,2942,NWS,GEM,-116 28 00,43 52 00,2370,2301714.281,1410235.1127
61,FAIRFIELD 3SE,3110,NWS,CAMAS,-114 45 00,43 19 00,5020,2439111.0176,1346467.5917
62,FAIRFIELD RANGER STATION,3108,NWS,CAMAS,-114 47 00,43 21 00,5065,2436442.684,1350194.2481
63,FENN RANGER STATION,3143,NWS,IDAHO,-115 33 00,46 06 00,1585,2380121.9032,1656540.9918
64,FORT HALL IND AGENCY,3297,NWS,BINGHAM,-112 26 00,43 02 00,4460,2627562.4109,1315920.4281
65,FRANKLIN BASIN PILLOW,11G32S,NRCS,FRANKLIN,-111 36 00,42 03 00,8170,2698549.0895,1208328.6694
66,GALENA,3417,NWS,BLAINE,-114 39 00,43 52 00,7300,2447698.0453,1407483.2935
67,GALENA PILLOW,14F01S,NRCS,BLAINE,-114 40 00,43 53 00,7440,2446373.6928,1409345.0937
68,GALENA SUMMIT SNOTEL,14F12S,NRCS,BLAINE,-114 43 00,43 51 00,8780,2442324.8824,1405676.4153
